[2025-08-19T15:24:49.469Z] New student: Radhe Radhe, 2nd Year, Computer Science
[2025-08-19T15:25:04.431Z] New student: Radhe Radhe, 1st Year, Computer Science
[2025-08-19T16:02:14.134Z] New student: Radhe Radhe, 2nd Year, Computer Science
[2025-08-23T15:13:18.122Z] Created student: RAM NATH G K, Roll: 8888888888
[2025-08-23T15:13:45.659Z] Created student: radhe, Roll: 45455555
[2025-08-23T16:10:16.816Z] New student: mtyytt, 1st Year, Engineering
[2025-08-23T16:13:27.379Z] New student: mtyytt, 1st Year, Business
[2025-08-23T16:17:46.995Z] New student: mtyytt, 2nd Year, Business
[2025-08-23T16:20:30.264Z] New student: mtyytt, 2nd Year, Business
[2025-08-23T16:20:56.878Z] New student: mtyytt, 2nd Year, Engineering
[2025-08-23T16:29:47.569Z] New student: mtyytt, 3rd Year, Sciences
[2025-08-23T16:30:48.708Z] New student: mtyytt, 2nd Year, Arts
[2025-08-23T16:34:53.657Z] New student: mtyytt, 3rd Year, Engineering
[2025-08-23T16:41:35.263Z] New student: mtyytt, 1st Year, Engineering
[2025-08-23T16:43:53.301Z] New student: mtyytt, 1st Year, Other
[2025-08-23T16:46:21.276Z] New student: mtyytt, 1st Year, Computer Science
[2025-08-23T16:49:56.695Z] New student: Ramnath, 4th Year, Business
[2025-08-23T16:51:31.481Z] New student: mimi, 3rd Year, Sciences
[2025-08-23T16:52:14.691Z] New student: bhav, 1st Year, Computer Science
[2025-08-23T16:52:42.309Z] New student: bhi, 1st Year, Engineering
[2025-08-23T17:02:06.087Z] New student: hi, 1st Year, Computer Science
[2025-08-24T15:58:16.218Z] New student: hi, 2nd Year, Business
